H2	CH4	C2H4	C2H6	C2H2
80	68	13	242	0
82	65	15	245	0
85	66	18	248	0
88	65	15	250	0
85	60	60	245	0
90	62	61	248	0
92	59	56	242	0
95	64	9	247	0
98	60	5	228	0
86	85	54	135	0
85	86	55	138	0
86	37	16	140	0
5	35	11	113	0
5	33	10	113	0
7	33	10	88	0
7	25	8	66	0
11	18	3	46	0
22	16	3	26	0
28	20	3	28	0
35	21	2	31	0
28	12	2	38	0
25	10	2	40	0
21	12	3	46	0
25	15	3	54	0
30	15	3	62	0
32	18	6	70	0
38	20	8	66	0
42	15	3	65	0
72	17	3	68	0
26	12	5	66	0
11	5	0	2	0
7	0	0	0	0
15	14	3	51	0
16	17	2	47	0
15	3	0	28	0
19	4	0	24	0
22	6	2	14	0
41	8	0	19	0
31	12	0	28	0
51	21	0	30	0
11	10	2	24	0
34	15	1	30	0
52	34	7	60	0
56	36	10	65	0
43	26	5	50	0
56	30	8	60	0
15	33	10	65	0
13	15	0	45	0
20	21	3	62	0
20	23	5	65	0
18	25	6	68	0
15	22	5	66	0
20	29	10	79	0
115	70	30	133	0
117	72	27	135	0
120	70	30	137	0
57	73	30	140	0
60	75	35	140	0
60	75	35	130	0
63	77	36	133	0
60	72	30	145	0
65	75	30	135	0
62	69	25	130	0
60	60	25	127	0
62	60	26	97	0
65	58	20	96	0
65	56	20	97	0
63	58	18	95	0
7	10	2	42	0
12	10	1	39	0
6	10	2	30	0
10	6	1	15	0
13	5	1	12	0
10	3	1	10	0
13	3	1	10	0
10	2	1	10	0
10	2	1	10	0
13	4	1	10	0
16	5	1	12	0
12	4	1	11	0
10	2	1	10	0
37	14	8	55	0
38	12	6	58	0
30	12	5	60	0
23	13	6	66	0
21	11	5	65	0
25	12	6	68	0
21	11	5	65	0
12	4	1	21	0
14	2	0	51	0
12	1	1	21	0
21	2	5	3	0
6	3	0	0	0
8	5	0	25	0
10	6	1	22	0
8	10	0	24	0
12	14	1	28	0
15	16	0	21	0
18	22	2	24	0
25	30	1	17	0
20	15	1	12	0
25	20	0	10	0
30	22	2	20	0
35	25	0	24	0
37	28	0	26	0
40	30	0	28	0
25	20	0	32	0
28	20	0	34	0
25	10	0	10	0
30	5	1	0	0
5	0	0	0	0
49	30	15	65	0
45	30	10	62	0
45	20	10	65	0
45	20	10	69	0
45	22	2	76	0
15	16	0	30	0
3	18	2	45	0
3	31	2	40	0
3	38	1	40	0
6	10	1	33	0
2	5	1	17	0
8	4	1	10	0
13	4	1	8	0
16	2	1	8	0
19	2	1	9	0
10	4	1	10	0
7	3	1	10	0
14	6	1	12	0
10	6	1	12	0
15	7	1	14	0
13	6	1	11	0
8	4	1	6	0
9	1	1	3	0
10	1	1	3	0
10	1	0	3	0
5	1	0	2	0
59	36	25	72	0
59	35	25	72	0
42	33	28	65	0
45	35	31	67	0
13	15	2	45	0
16	21	1	23	0
25	2	1	36	0
10	3	1	29	0
11	2	0	21	0
25	12	0	6	0
16	15	0	34	0
22	18	0	38	0
31	40	0	60	0
46	26	2	30	0
53	73	0	89	0
56	61	8	65	0
61	63	10	67	0
50	52	0	60	0
43	60	1	70	0
51	50	2	90	0
30	55	2	101	0
22	60	2	108	0
30	68	1	120	0
35	45	15	60	0
45	53	8	65	0
47	55	10	68	0
50	58	10	65	0
52	55	8	60	0
55	57	10	62	0
47	60	13	65	0
50	63	15	66	0
50	60	15	58	0
53	65	18	60	0
56	60	20	49	0
60	50	15	45	0
60	48	10	44	0
65	50	8	36	0
70	21	10	37	0
70	22	10	36	0
4	14	2	41	0
4	15	2	42	0
6	10	2	30	0
8	11	2	31	0
5	5	1	17	0
1	2	0	5	0
13	10	1	30	0
14	9	1	21	0
15	8	1	22	0
12	4	1	20	0
8	4	1	21	0
6	2	0	18	0
8	2	0	18	0
9	2	0	9	0
10	4	0	10	0
11	3	0	6	0
28	30	4	62	0
37	16	4	62	0
34	16	4	63	0
32	15	3	63	0
35	16	5	65	0
33	9	5	64	0
13	11	1	24	0
16	2	0	0	0
30	3	1	12	0
50	2	0	17	0
57	3	0	0	0
85	7	0	10	0
96	15	1	2	0
10	19	0	25	0
12	33	0	38	0
17	18	0	16	0
23	19	0	25	0
21	18	15	39	0
26	16	2	54	0
30	20	0	60	0
10	25	0	65	0
12	10	5	50	0
15	45	10	82	0
25	45	20	50	0
37	40	25	57	0
40	42	28	60	0
48	44	30	63	0
80	32	30	60	0
83	35	32	63	0
85	34	30	60	0
87	35	25	62	0
90	30	21	60	0
92	25	20	58	0
95	28	20	59	0
98	30	20	28	13
95	31	21	28	0
98	32	21	30	0
15	2	1	1	0
2	0	0	0	0
2	14	2	4	0
9	15	2	3	0
26	5	1	0	0
30	3	1	0	0
35	5	1	0	0
22	4	0	1	0
25	3	0	1	0
15	1	0	1	0
9	1	0	0	0
3	1	0	0	0
6	5	31	5	0
10	5	22	3	0
14	12	8	1	0
10	12	8	1	0
7	10	8	1	0
9	20	10	3	0
10	23	10	3	0
12	26	13	3	0
12	25	10	1	0
10	28	10	1	0
30	25	23	4	0
62	10	9	1	0
52	28	53	3	0
57	30	64	7	0
27	10	10	1	0
10	20	15	2	0
20	65	50	12	0
22	68	50	10	0
20	70	52	10	0
18	60	55	12	0
15	62	57	10	0
12	60	60	10	0
15	63	63	10	0
13	66	66	8	0
15	68	69	8	0
10	25	2	3	0
12	10	0	1	0
234	2	0	0	0
174	1	0	0	0
7	0	0	0	0
12	3	2	2	0
13	0	1	2	0
14	10	4	2	0
3	1	0	0	0
1	1	1	0	0
13	5	1	2	0
12	5	1	2	0
11	5	1	1	0
11	1	0	0	0
9	0	0	0	0
12	0	0	0	0
5	0	0	0	0
2	0	0	0	0
2	2	1	1	0
2	1	1	0	0
31	7	1	1	0
35	8	1	1	0
34	6	1	1	0
13	2	0	0	0
8	1	0	0	0
8	0	0	0	0
7	0	0	0	0
4	0	0	0	0
5	1	1	0	0
1	1	1	1	0
14	6	1	2	0
15	5	1	1	0
12	5	1	1	0
14	2	0	0	0
9	1	0	0	0
6	0	0	0	0
3	0	0	0	0
0	0	0	0	0
9	5	4	2	0
10	6	5	2	0
2	1	0	0	0
11	5	4	1	0
7	0	0	0	0
8	1	0	0	0
7	0	0	1	0
7	0	0	0	0
5	0	0	0	0
28	3	0	0	0
30	6	0	0	0
13	7	4	3	0
13	6	2	2	0
23	8	3	3	0
20	7	3	3	0
11	1	0	0	0
7	0	0	0	0
7	0	0	0	0
5	0	0	0	0
3	0	0	0	0
13	8	8	3	0
29	6	5	6	0
22	7	6	3	0
20	7	6	3	0
8	0	0	0	0
13	0	0	0	0
22	0	0	0	0
13	0	0	0	0
2	0	0	0	0
51	8	2	2	0
61	4	2	3	0
60	5	1	2	0
53	6	2	2	0
11	3	0	0	0
19	2	0	0	0
16	0	0	0	0
5	0	0	0	0
3	0	0	0	0
3	0	0	0	0
2	0	0	0	0
2	0	0	0	0
270	29	28	4	24
38	3	0	0	0
4	0	0	0	0
118	22	5	2	30
14	1	1	0	5
14	1	0	0	0
7	0	0	0	0
6	0	0	0	0
3	0	0	0	0
78	2	7	1	16
9	2	0	0	0
